ticket_id,category,priority,sentiment,issue,summary,recommended_action
T001,Password Reset,Medium,Neutral,The customer is unable to reset their password because the reset link they received is expired.,Customer cannot access their account due to an expired password reset link.,"Generate and email a new password reset link to the customer, and ensure they are aware of the link validity window."
T002,Payment Issue,High,Negative,Charged twice for a single order.,The customer reports that their credit card was billed twice for the same transaction.,Verify the double transaction in the billing system and initiate a refund for the duplicate charge.
T003,Account Access,Low,Neutral,Request to change the account's associated email address.,The customer is asking for instructions on how to update the email address linked to their account.,Send the customer a step-by-step guide on how to update their email address via the account settings portal.
T004,Technical Issue,Medium,Frustrated,App crashes during photo upload.,The user experiences consistent app crashes whenever attempting to upload a photo.,"Request device details and app version from the user, and escalate the crash log to the technical team for debugging."
T005,Delivery,Medium,Frustrated,Order not received by the scheduled delivery date.,The customer's order was expected to arrive yesterday but has not yet been delivered.,Verify the tracking information with the carrier and provide the customer with an updated delivery status.
T006,Refund,Low,Neutral,Request for a refund on an item purchased last week.,The customer is inquiring about their eligibility to receive a refund for an item purchased one week ago.,"Verify the customer's purchase history to locate the transaction, check if it complies with the refund policy, and reply with instructions on how to proceed."
T007,Account Access,Medium,Neutral,Forgotten username preventing account login.,The customer is unable to access their account because they have forgotten their username.,Send username recovery instructions to the customer's registered email address and assist with account verification if needed.
T008,Payment Issue,High,Frustrated,Error message on payment page during checkout,"The customer is experiencing recurring errors on the payment page, preventing them from completing their transaction.","Check payment gateway server logs for recent errors, verify payment processor status, and reach out to the customer to help resolve the payment."
T009,Billing,Low,Neutral,Customer is asking how to download their invoice.,The customer is requesting instructions on how to locate and download their billing invoice.,"Provide the customer with step-by-step instructions on accessing invoices in their account dashboard, or offer to send the invoice directly to their email."
T010,Subscription,High,Neutral,Immediate subscription cancellation request,The customer is requesting the immediate cancellation of their subscription.,Process the subscription cancellation immediately and send a confirmation email to the customer.
